updated;price
2012-09-21;51.1054
2012-09-20;50.1839
2012-09-19;50.1267
2012-09-18;49.6055
2012-09-15;49.9099
2012-09-14;50.6061
2012-09-13;50.6387
2012-09-12;50.9064
2012-09-11;50.7903
2012-09-08;51.0819
2012-09-07;51.2138
2012-09-06;51.4731
2012-09-05;51.2133
2012-09-04;51.4265
2012-09-01;51.4069
2012-08-31;51.1334
2012-08-30;50.7409
2012-08-29;50.5249
2012-08-28;50.3806
2012-08-25;50.4378
2012-08-24;50.3728
2012-08-23;50.1861
2012-08-22;50.3284
2012-08-21;50.2851
2012-08-18;50.0506
2012-08-17;49.9252
2012-08-16;49.9012
2012-08-15;49.9168
2012-08-14;49.9669
2012-08-11;49.7121
2012-08-10;49.3366
2012-08-09;49.3614
2012-08-08;49.425
2012-08-07;49.8695
2012-08-04;50.4993
2012-08-03;50.4501
2012-08-02;50.7228
2012-08-01;50.5663
2012-07-31;50.5546
2012-07-28;50.5101
2012-07-27;50.5321
2012-07-26;51.1891
2012-07-25;50.6031
2012-07-24;50.3932
2012-07-21;50.1565
2012-07-20;50.3182
2012-07-19;50.7319
2012-07-18;50.8815
2012-07-17;50.7678
2012-07-14;50.383
2012-07-13;50.5619
2012-07-12;51.061
2012-07-11;51.1086
2012-07-10;51.129
2012-07-07;50.6227
2012-07-06;50.6347
2012-07-05;50.4354
2012-07-04;51.0081
2012-07-03;50.9595
2012-06-30;51.3552
2012-06-29;51.4113
2012-06-28;51.3264
2012-06-27;51.7933
2012-06-26;51.5982
2012-06-23;52.32
2012-06-22;51.6022
2012-06-21;51.1389
2012-06-20;50.9931
2012-06-19;50.4432
2012-06-16;50.205
2012-06-15;50.4351
2012-06-14;50.9196
2012-06-10;50.4239
2012-06-09;50.4884
2012-06-08;49.7434
2012-06-07;50.649
2012-06-06;50.9622
2012-06-05;52.3289
2012-06-02;51.8053
2012-06-01;51.0021
2012-05-31;50.578
2012-05-30;50.3911
2012-05-29;49.9716
2012-05-26;49.7921
2012-05-25;49.5686
2012-05-24;49.4146
2012-05-23;49.1843
2012-05-22;49.2611
2012-05-19;49.5775
2012-05-18;49.1942
2012-05-17;49.3723
2012-05-16;48.8251
2012-05-15;48.615
2012-05-13;48.5072
2012-05-12;48.6834
2012-05-11;48.7192
2012-05-06;48.157
2012-05-05;47.8708
2012-05-04;47.6829
2012-05-03;47.6894
2012-04-29;47.7672
2012-04-28;47.6129
2012-04-27;47.4258
2012-04-26;47.3104
2012-04-25;47.5667
2012-04-24;47.4491
2012-04-21;47.435
2012-04-20;47.4202
2012-04-19;46.9074
2012-04-18;47.1551
2012-04-17;47.1391
2012-04-14;46.9681
2012-04-13;47.1123
2012-04-12;47.4141
2012-04-11;47.0292
2012-04-10;47.0468
2012-04-07;46.7127
2012-04-06;46.7795
2012-04-05;46.7295
2012-04-04;46.9531
2012-04-03;47.0241
2012-03-31;46.972
2012-03-30;46.5695
